Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2020-08-20,2094.856689453125,2252.85009765625,2276.550048828125,2240.050048828125,2257.0,2895164.0
2020-08-21,2090.905029296875,2248.60009765625,2271.0,2241.050048828125,2260.0,1975294.0
2020-08-24,2090.4404296875,2248.10009765625,2259.949951171875,2230.0,2250.60009765625,2167966.0
2020-08-25,2085.372314453125,2242.64990234375,2250.0,2233.550048828125,2245.0,1663419.0
2020-08-26,2095.4609375,2253.5,2259.89990234375,2216.449951171875,2242.0,2618149.0
2020-08-27,2090.71826171875,2248.39990234375,2287.35009765625,2241.75,2266.0,3579393.0
2020-08-28,2081.5595703125,2238.550048828125,2279.949951171875,2235.10009765625,2268.39990234375,2941136.0
2020-08-31,2098.9482421875,2257.25,2276.199951171875,2228.0,2240.0,6018154.0
2020-09-01,2088.8125,2246.35009765625,2278.0,2241.300048828125,2269.0,3610908.0
2020-09-02,2106.29443359375,2265.14990234375,2268.75,2241.64990234375,2247.0,2084137.0
2020-09-03,2138.235107421875,2299.5,2324.0,2268.0,2268.0,4654146.0
2020-09-04,2128.28564453125,2288.800048828125,2324.25,2262.949951171875,2275.0,5231303.0
2020-09-07,2163.852783203125,2327.050048828125,2343.5,2283.35009765625,2289.0,4620401.0
2020-09-08,2183.51953125,2348.199951171875,2390.449951171875,2327.050048828125,2335.949951171875,7453998.0
2020-09-09,2164.410400390625,2327.64990234375,2359.0,2320.0,2325.0,3866535.0
2020-09-10,2167.66552734375,2331.14990234375,2348.5,2324.300048828125,2335.0,2308813.0
2020-09-11,2207.60400390625,2374.10009765625,2383.0,2330.14990234375,2330.949951171875,4145424.0
2020-09-14,2316.677001953125,2491.39990234375,2505.75,2381.85009765625,2384.10009765625,7512131.0
2020-09-15,2316.677001953125,2491.39990234375,2538.0,2464.60009765625,2491.39990234375,7318770.0
2020-09-16,2327.4638671875,2503.0,2507.60009765625,2477.300048828125,2488.949951171875,3074003.0
2020-09-17,2288.3623046875,2460.949951171875,2495.75,2450.60009765625,2480.0,4828176.0
2020-09-18,2278.087890625,2449.89990234375,2500.39990234375,2436.39990234375,2485.0,4183256.0
2020-09-21,2292.40771484375,2465.300048828125,2504.89990234375,2452.14990234375,2465.0,4598809.0
2020-09-22,2346.0146484375,2522.949951171875,2555.0,2458.0,2485.0,7499613.0
2020-09-23,2294.40673828125,2467.449951171875,2519.85009765625,2409.0,2510.0,7502280.0
2020-09-24,2168.688720703125,2332.25,2450.0,2302.60009765625,2450.0,8424708.0
2020-09-25,2252.423095703125,2422.300048828125,2440.0,2352.10009765625,2368.0,8228267.0
2020-09-28,2256.141845703125,2426.300048828125,2444.0,2366.0,2440.0,4347166.0
2020-09-29,2313.886962890625,2488.39990234375,2511.050048828125,2426.300048828125,2434.85009765625,6995811.0
2020-09-30,2317.51416015625,2492.300048828125,2505.0,2460.0,2489.0,3917166.0
2020-10-01,2346.4794921875,2523.449951171875,2540.0,2492.300048828125,2510.0,2610337.0
2020-10-02,,2569.0374755859375,,,,
2020-10-05,2516.04150390625,2705.800048828125,2728.10009765625,2603.050048828125,2620.0,17412105.0
2020-10-06,2523.945556640625,2714.300048828125,2736.0,2650.10009765625,2736.0,9846367.0
2020-10-07,2544.076904296875,2735.949951171875,2770.0,2703.0,2742.0,9656101.0
2020-10-08,2627.5322265625,2825.699951171875,2885.0,2800.0,2800.0,19839329.0
2020-10-09,2615.676513671875,2812.949951171875,2829.85009765625,2780.0,2810.0,7739245.0
2020-10-12,2631.53076171875,2830.0,2854.0,2800.75,2815.5,4623203.0
2020-10-13,2628.322998046875,2826.550048828125,2854.89990234375,2812.199951171875,2845.0,4209878.0
2020-10-14,2623.700439453125,2809.60009765625,2842.0,2787.550048828125,2842.0,4395936.0
2020-10-15,2559.26611328125,2740.60009765625,2827.75,2727.0,2811.0,6629355.0
2020-10-16,2580.464111328125,2763.300048828125,2771.64990234375,2731.300048828125,2750.10009765625,5273773.0
2020-10-19,2532.138427734375,2711.550048828125,2774.0,2706.60009765625,2774.0,3331194.0
2020-10-20,2557.7724609375,2739.0,2759.89990234375,2717.949951171875,2725.0,3406273.0
2020-10-21,2498.379638671875,2675.39990234375,2749.0,2663.050048828125,2739.0,4570143.0
2020-10-22,2494.4111328125,2671.14990234375,2686.64990234375,2638.10009765625,2661.0,5262294.0
2020-10-23,2509.025634765625,2686.800048828125,2702.0,2670.10009765625,2687.800048828125,3499091.0
2020-10-26,2510.3330078125,2688.199951171875,2709.949951171875,2670.5,2689.949951171875,2672752.0
2020-10-27,2456.124267578125,2630.14990234375,2718.14990234375,2624.10009765625,2699.75,3537502.0
2020-10-28,2448.7001953125,2622.199951171875,2655.949951171875,2606.0,2650.0,3569445.0
2020-10-29,2458.45849609375,2632.64990234375,2655.0,2600.25,2608.0,3105968.0
2020-10-30,2488.528076171875,2664.85009765625,2674.35009765625,2621.60009765625,2636.10009765625,3427003.0
2020-11-02,2432.264892578125,2604.60009765625,2664.85009765625,2600.050048828125,2660.0,2571196.0
2020-11-03,2459.34619140625,2633.60009765625,2665.0,2601.050048828125,2604.0,2879269.0
2020-11-04,2477.6025390625,2653.14990234375,2721.85009765625,2610.0,2610.0,4893928.0
2020-11-05,2507.999267578125,2685.699951171875,2710.0,2667.0,2685.0,2816502.0
2020-11-06,2528.309326171875,2707.449951171875,2713.25,2681.300048828125,2699.0,3884421.0
