order_id,order_date,customer_id,country,category,product,price,quantity,discount,returned,revenue
O100917,2023-01-01,C1418,India,Electronics,Laptop,438.08,3,0.07,0,1222.24
O102637,2023-01-01,C1062,Australia,Home,Chair,168.38,2,0.02,0,330.02
O101666,2023-01-01,C1803,USA,Grocery,Coffee,16.68,3,0.0,0,50.04
O101614,2023-01-01,C1342,India,Grocery,Pasta,39.9,1,0.06,0,37.51
O100604,2023-01-01,C1784,Canada,Clothing,Jacket,86.13,1,0.02,0,84.41
O100515,2023-01-01,C1952,Canada,Beauty,Shampoo,23.38,2,0.07,0,43.49
O102886,2023-01-01,C1612,Canada,Home,Blender,126.68,1,0.12,0,111.48
O100791,2023-01-01,C1713,India,Home,Chair,90.12,2,0.1,0,162.22
O102482,2023-01-01,C1003,India,Grocery,Pasta,32.37,2,0.11,0,57.62
O101468,2023-01-02,C1676,USA,Clothing,T-Shirt,66.08,1,0.1,0,59.47
O100212,2023-01-02,C1570,USA,Home,Chair,59.0,2,0.13,0,102.66
O101744,2023-01-02,C1357,UK,Grocery,Cereal,24.7,4,0.15,1,83.98
O100170,2023-01-02,C1330,Australia,Electronics,Headphones,563.2,4,0.18,1,1847.3
O101563,2023-01-02,C1572,Canada,Clothing,Jacket,54.86,3,0.07,0,153.06
O100059,2023-01-02,C1172,Canada,Grocery,Coffee,26.82,3,0.08,0,74.02
O101260,2023-01-03,C1363,Australia,Grocery,Pasta,27.65,3,0.11,0,73.83
O101211,2023-01-03,C1244,Germany,Clothing,T-Shirt,96.75,1,0.01,0,95.78
O100711,2023-01-03,C1088,UK,Home,Lamp,232.2,3,0.07,0,647.84
O101706,2023-01-03,C1211,Canada,Electronics,Laptop,464.63,1,0.03,0,450.69
O100772,2023-01-04,C1288,Canada,Home,Chair,54.19,2,0.1,1,97.54
O101053,2023-01-04,C1753,USA,Clothing,Shoes,98.27,1,0.07,0,91.39
O100335,2023-01-05,C1810,India,Electronics,Laptop,525.72,3,0.02,0,1545.62
O100110,2023-01-05,C1016,Canada,Grocery,Coffee,8.89,4,0.12,0,31.29
O100576,2023-01-05,C1885,UK,Grocery,Coffee,22.97,3,0.01,0,68.22
O100672,2023-01-05,C1850,USA,Grocery,Coffee,29.33,1,0.17,0,24.34
O100828,2023-01-05,C1021,India,Home,Lamp,151.53,1,0.09,0,137.89
O100768,2023-01-06,C1989,India,Electronics,Laptop,536.76,4,0.07,0,1996.75
O101013,2023-01-07,C1769,India,Beauty,Shampoo,36.06,4,0.07,0,134.14
