tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,senior_citizen,dependents,tech_support,streaming,churn
48,100.3,4761.35,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
69,100.96,7031.33,One year,Electronic check,DSL,0,0,0,0,0
26,37.54,999.12,One year,Electronic check,DSL,0,1,1,1,0
68,88.27,6086.0,Month-to-month,Electronic check,None,0,0,0,0,0
24,109.23,2650.25,Two year,Credit card,Fiber optic,1,0,1,0,1
58,73.81,4316.15,Month-to-month,Credit card,Fiber optic,0,0,0,0,1
15,50.56,730.28,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
24,85.05,2079.59,Month-to-month,Credit card,None,0,0,0,1,0
43,53.5,2256.03,Month-to-month,Electronic check,DSL,0,0,1,1,0
9,72.86,568.08,Month-to-month,Credit card,Fiber optic,0,0,1,0,0
40,82.75,3274.02,Two year,Electronic check,DSL,0,0,1,1,0
69,42.22,2888.34,Month-to-month,Credit card,Fiber optic,0,1,0,1,0
49,82.85,3971.84,Month-to-month,Electronic check,Fiber optic,0,1,1,1,0
8,65.86,494.01,Month-to-month,Electronic check,Fiber optic,0,1,1,0,1
45,75.24,3320.4,One year,Electronic check,Fiber optic,0,0,0,1,1
1,41.79,45.77,One year,Electronic check,DSL,0,1,0,1,1
56,92.04,5194.82,Month-to-month,Credit card,DSL,0,1,0,0,0
7,26.42,94.22,Two year,Credit card,DSL,0,0,0,0,0
20,62.89,1260.04,One year,Bank transfer,DSL,0,1,1,0,0
61,68.49,4131.64,One year,Electronic check,Fiber optic,0,1,1,0,0
45,10.9,454.27,One year,Electronic check,Fiber optic,0,1,1,0,0
64,97.7,6278.32,Month-to-month,Electronic check,DSL,1,0,1,0,0
70,70.99,5017.47,Month-to-month,Electronic check,Fiber optic,0,1,0,1,0
57,18.68,1065.84,Month-to-month,Credit card,None,0,0,1,1,0
25,103.38,2561.1,One year,Bank transfer,None,0,1,1,0,0
56,88.12,5024.78,Two year,Credit card,Fiber optic,0,0,0,1,1
54,110.62,5995.51,Month-to-month,Bank transfer,DSL,0,0,1,0,1
62,85.01,5198.48,Month-to-month,Electronic check,DSL,0,0,1,1,1
65,65.38,4256.9,Month-to-month,Electronic check,DSL,0,0,1,1,0
35,96.94,3462.71,Month-to-month,Credit card,None,0,1,0,0,0
57,49.43,2821.58,Two year,Electronic check,None,0,0,1,0,1
39,57.92,2278.73,Month-to-month,Credit card,DSL,0,1,1,0,0
5,49.17,276.97,One year,Bank transfer,Fiber optic,0,1,0,1,1
10,45.87,385.97,Two year,Electronic check,Fiber optic,0,1,1,1,1
68,113.77,7824.1,Month-to-month,Electronic check,Fiber optic,0,0,1,0,0
49,65.71,3215.92,Month-to-month,Bank transfer,None,0,0,1,0,0
2,65.82,53.22,One year,Bank transfer,DSL,0,1,0,0,0
65,51.64,3420.57,Month-to-month,Electronic check,Fiber optic,0,1,1,0,0
17,46.05,771.26,Month-to-month,Electronic check,Fiber optic,0,1,1,0,0
32,35.4,1151.07,One year,Bank transfer,Fiber optic,0,0,1,0,0
45,114.41,5014.78,One year,Bank transfer,None,0,0,1,0,0
24,90.58,2194.64,Month-to-month,Bank transfer,None,1,0,1,0,1
11,62.91,741.03,Month-to-month,Credit card,None,1,0,1,0,1
36,75.73,2777.92,Two year,Electronic check,Fiber optic,0,1,0,0,1
65,102.25,6548.16,Month-to-month,Bank transfer,Fiber optic,0,0,1,1,1
62,50.69,3114.55,Month-to-month,Credit card,DSL,0,1,0,0,0
8,41.03,341.09,One year,Credit card,Fiber optic,0,0,0,0,1
24,62.5,1495.97,One year,Electronic check,DSL,1,0,1,1,0
22,60.62,1283.23,Month-to-month,Credit card,Fiber optic,0,0,1,0,1
36,101.4,3739.54,Month-to-month,Credit card,DSL,0,0,0,1,1
68,108.39,7334.5,One year,Credit card,None,0,1,0,0,0
20,104.49,2140.71,Month-to-month,Bank transfer,None,1,1,0,0,0
28,86.37,2429.48,Month-to-month,Bank transfer,DSL,1,1,0,0,1
5,68.07,355.1,Month-to-month,Electronic check,Fiber optic,0,0,1,0,1
20,29.21,561.91,Two year,Bank transfer,Fiber optic,0,1,1,1,0
34,112.44,3929.62,Month-to-month,Credit card,Fiber optic,1,0,1,0,0
31,103.96,3176.65,One year,Electronic check,Fiber optic,0,0,1,0,0
58,67.87,3883.9,Month-to-month,Electronic check,None,0,1,0,1,0
32,92.96,3020.32,One year,Electronic check,Fiber optic,0,0,1,0,0
3,108.9,502.26,Month-to-month,Electronic check,Fiber optic,1,1,1,1,1
51,43.5,2289.22,Two year,Credit card,DSL,1,0,1,0,0
19,73.12,1377.91,Month-to-month,Electronic check,Fiber optic,0,1,0,0,1
22,115.5,2514.68,One year,Credit card,Fiber optic,1,0,0,0,1
68,34.57,2333.25,Month-to-month,Electronic check,None,0,0,1,1,0
59,26.51,1584.59,Month-to-month,Bank transfer,Fiber optic,0,0,1,0,0
48,114.42,5436.01,Two year,Bank transfer,DSL,0,0,1,1,1
17,106.35,1799.9,Month-to-month,Electronic check,DSL,0,1,1,0,1
